GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Median income in the past 12 months -- - Total:
HD02_VD02,Margin of Error; Median income in the past 12 months -- - Total:
HD01_VD03,Estimate; Median income in the past 12 months -- - Total: - Born in state of residence
HD02_VD03,Margin of Error; Median income in the past 12 months -- - Total: - Born in state of residence
HD01_VD04,Estimate; Median income in the past 12 months -- - Total: - Born in other state of the United States
HD02_VD04,Margin of Error; Median income in the past 12 months -- - Total: - Born in other state of the United States
HD01_VD05,Estimate; Median income in the past 12 months -- - Total: - Native; born outside the United States
HD02_VD05,Margin of Error; Median income in the past 12 months -- - Total: - Native; born outside the United States
HD01_VD06,Estimate; Median income in the past 12 months -- - Total: - Foreign born
HD02_VD06,Margin of Error; Median income in the past 12 months -- - Total: - Foreign born
