stpl_fips,Lead exposure risk index
15003,3.0
135896,1.0
137000,5.0
150000,7.0
151000,7.0
177256,6.0
203000,2.0
404720,3.0
412000,1.0
427400,1.0
427820,4.0
446000,3.0
454050,1.0
455000,5.0
465000,2.0
471510,1.0
473000,4.0
477000,7.0
485540,4.0
523290,5.0
524550,8.0
535710,5.0
541000,5.0
566080,4.0
600562,7.0
600884,8.0
602000,5.0
602252,3.0
602364,4.0
603526,5.0
603666,7.0
604982,7.0
606000,9.0
608786,6.0
608954,7.0
611194,1.0
611530,4.0
613014,7.0
613210,2.0
613214,1.0
613392,3.0
613588,3.0
614218,2.0
616000,4.0
616350,2.0
616532,4.0
617918,4.0
619766,7.0
622020,1.0
622230,8.0
622804,4.0
623182,3.0
624638,1.0
624680,3.0
626000,1.0
627000,8.0
628000,5.0
629000,7.0
630000,8.0
632548,7.0
633000,4.0
633434,5.0
636000,2.0
636448,4.0
636546,9.0
636770,2.0
639496,1.0
639892,6.0
640130,5.0
641992,2.0
643000,9.0
644000,9.0
644574,9.0
645484,2.0
646842,2.0
647766,2.0
648256,1.0
648354,5.0
649270,3.0
649670,3.0
650076,1.0
650258,4.0
651182,2.0
652526,8.0
653000,9.0
653322,3.0
653896,5.0
653980,4.0
654652,5.0
655156,4.0
656000,8.0
657792,1.0
658072,8.0
659451,1.0
659920,5.0
659962,5.0
660018,3.0
660102,5.0
660466,5.0
660620,8.0
662000,6.0
662938,2.0
664224,6.0
665000,9.0
665042,4.0
666000,4.0
668000,3.0
668084,7.0
668196,2.0
668252,5.0
668378,1.0
669000,8.0
669070,7.0
669084,3.0
669088,2.0
669196,5.0
670000,6.0
670098,3.0
672016,1.0
673080,9.0
675000,7.0
677000,2.0
678120,1.0
678582,1.0
680000,4.0
680238,2.0
680812,4.0
680854,2.0
681204,2.0
681344,4.0
681554,2.0
681666,6.0
682954,5.0
682996,4.0
684200,5.0
684550,6.0
803455,2.0
804000,3.0
807850,6.0
812815,1.0
816000,3.0
820000,7.0
827425,4.0
832155,5.0
843000,3.0
845970,3.0
846465,2.0
862000,9.0
877290,2.0
883835,2.0
908000,10.0
918430,6.0
950370,10.0
952000,10.0
955990,6.0
973000,5.0
980000,9.0
1207300,2.0
1207875,4.0
1210275,2.0
1212875,4.0
1214400,2.0
1216475,2.0
1216725,4.0
1217200,3.0
1224000,6.0
1225175,8.0
1232000,5.0
1235000,5.0
1238250,5.0
1239425,3.0
1239550,6.0
1243975,4.0
1245025,7.0
1245975,2.0
1254000,3.0
1254200,2.0
1255775,1.0
1257425,2.0
1258050,6.0
1258715,2.0
1263000,7.0
1269700,3.0
1270600,6.0
1271000,7.0
1276600,6.0
1303440,8.0
1304000,7.0
1304204,7.0
1319000,6.0
1342425,1.0
1367284,2.0
1369000,8.0
1380508,4.0
1608830,4.0
1652120,1.0
1656260,5.0
1702154,2.0
1703012,6.0
1706613,5.0
1707133,2.0
1712385,8.0
1714000,9.0
1714351,10.0
1718823,9.0
1723074,6.0
1724582,9.0
1738570,5.0
1751622,1.0
1757225,3.0
1759000,8.0
1768003,1.0
1772000,8.0
1779293,8.0
1805860,8.0
1810342,1.0
1822000,9.0
1823278,1.0
1825000,7.0
1831000,10.0
1836003,8.0
1840788,8.0
1851876,10.0
1871000,9.0
1912000,5.0
1919000,8.0
1921000,9.0
1938595,8.0
1973335,9.0
1982425,8.0
2036000,9.0
2038900,6.0
2052575,1.0
2053775,1.0
2071000,7.0
2079000,7.0
2146027,5.0
2148006,7.0
2240735,5.0
2241155,8.0
2255000,9.0
2360545,9.0
2507000,10.0
2509000,9.0
2511000,9.0
2523000,10.0
2537000,10.0
2537490,10.0
2545000,10.0
2545560,8.0
2555745,8.0
2567000,10.0
2582000,10.0
2603000,8.0
2621000,10.0
2627440,2.0
2642160,10.0
2649000,3.0
2669035,1.0
2674900,4.0
2676460,3.0
2680700,1.0
2684000,7.0
2686000,6.0
2688940,6.0
2706616,3.0
2707966,2.0
2717000,9.0
2743000,9.0
2751730,1.0
2754880,3.0
2758000,9.0
2829700,6.0
2915670,5.0
2935000,7.0
2938000,8.0
2941348,1.0
2954074,1.0
2964550,9.0
2970000,8.0
3006550,4.0
3050200,7.0
3128000,6.0
3137000,7.0
3231900,1.0
3251800,3.0
3260600,4.0
3268400,2.0
3345140,8.0
3350260,5.0
3413690,7.0
3421000,9.0
3474000,10.0
3502000,5.0
3539380,6.0
3563460,2.0
3570500,5.0
3601000,10.0
3649121,9.0
3650617,8.0
3684000,9.0
3702140,7.0
3710740,1.0
3712000,3.0
3714100,3.0
3719000,4.0
3722920,4.0
3725580,6.0
3728000,5.0
3728080,7.0
3731400,6.0
3734200,4.0
3755000,3.0
3774440,7.0
3775000,7.0
3825700,4.0
3901000,10.0
3912000,10.0
3915000,10.0
3918000,7.0
3961000,6.0
3977000,10.0
4009050,1.0
4023200,2.0
4041850,6.0
4052500,4.0
4055000,6.0
4075000,7.0
4105350,3.0
4105800,2.0
4123850,7.0
4131250,4.0
4134100,2.0
4147000,6.0
4159000,8.0
4164900,6.0
4202000,10.0
4206088,9.0
4224000,10.0
4260000,10.0
4261000,10.0
4269000,10.0
4419180,7.0
4454640,10.0
4459000,10.0
4474300,6.0
4513330,4.0
4548535,1.0
4550875,6.0
4561405,4.0
4652980,5.0
4659020,3.0
4714000,7.0
4715160,3.0
4740000,8.0
4751560,3.0
4752006,5.0
4801000,7.0
4801924,1.0
4803000,6.0
4804000,3.0
4805000,3.0
4806128,5.0
4807000,6.0
4810912,6.0
4813024,2.0
4815976,6.0
4817000,5.0
4819000,7.0
4819972,4.0
4822660,6.0
4824000,6.0
4827000,5.0
4827684,1.0
4829000,4.0
4830464,3.0
4835000,6.0
4837000,3.0
4839148,3.0
4841980,1.0
4842508,2.0
4843888,6.0
4845000,6.0
4845384,6.0
4845744,1.0
4847892,4.0
4848072,3.0
4848804,1.0
4853388,5.0
4856000,6.0
4856348,1.0
4858016,1.0
4861796,2.0
4863500,1.0
4864472,5.0
4865000,6.0
4870808,1.0
4874144,6.0
4876000,8.0
4879000,7.0
4943660,1.0
4955980,9.0
4965330,2.0
4967000,9.0
4967440,1.0
4982950,1.0
4983470,3.0
5010675,9.0
5101000,4.0
5116000,2.0
5135000,5.0
5147672,8.0
5156000,5.0
5157000,8.0
5164000,7.0
5167000,9.0
5168000,9.0
5176432,3.0
5182000,2.0
5303180,3.0
5305210,2.0
5305280,7.0
5322640,6.0
5323515,3.0
5335275,4.0
5335415,3.0
5357745,3.0
5363000,7.0
5367000,9.0
5367167,4.0
5370000,8.0
5374060,4.0
5380010,8.0
5414600,9.0
5502375,6.0
5531000,7.0
5539225,8.0
5548000,6.0
5566000,10.0
5584250,4.0
5613900,4.0
