stcotr_fips,Lead exposure risk index
1073000100,9.0
1073000300,9.0
1073001100,5.0
1073002100,8.0
1073002200,8.0
1073002305,8.0
1073002306,5.0
1073002400,9.0
1073002700,8.0
1073003001,9.0
1073003100,9.0
1073003500,8.0
1073003600,8.0
1073003700,9.0
1073003802,9.0
1073004500,9.0
1073004701,7.0
1073004702,7.0
1073004800,6.0
1073004901,8.0
1073004902,8.0
1073005000,7.0
1073005104,5.0
1073005302,5.0
1073005600,5.0
1073005800,5.0
1073005903,6.0
1073005905,7.0
1073005907,3.0
1073005908,6.0
1073005909,4.0
1073005910,3.0
1073010302,8.0
1073010701,7.0
1073010703,6.0
1073010706,4.0
1073010801,5.0
1073010802,5.0
1073010803,3.0
1073010805,3.0
1073011104,3.0
1073011107,2.0
1073011108,2.0
1073011205,3.0
1073011207,4.0
1073011209,6.0
1073011210,5.0
1073011803,6.0
1073011804,6.0
1073011901,8.0
1073011904,4.0
1073012002,4.0
1073012200,4.0
1073012302,3.0
1073012304,3.0
1073012305,2.0
1073012401,3.0
1073012402,6.0
1073012602,7.0
1073012701,5.0
1073012703,1.0
1073012704,2.0
1073012803,2.0
1073012906,3.0
1073012907,3.0
1073012908,3.0
1073012910,1.0
1073012911,2.0
1073012912,3.0
1073012913,4.0
1073014203,2.0
1073014204,2.0
1073014302,2.0
1073014404,3.0
1073014405,4.0
1073014406,2.0
1073014408,2.0
1073014409,2.0
1073014410,2.0
1073014412,3.0
1073014413,1.0
1083020802,1.0
1083021100,3.0
1083021200,2.0
1089000202,8.0
1089000301,6.0
1089000302,6.0
1089000403,4.0
1089000501,4.0
1089000502,4.0
1089000503,4.0
1089000601,5.0
1089000602,6.0
1089000701,6.0
1089000901,3.0
1089000902,5.0
1089001000,8.0
1089001301,7.0
1089001302,5.0
1089001401,1.0
1089001402,4.0
1089001500,7.0
1089001700,5.0
1089001801,4.0
1089001901,2.0
1089001902,2.0
1089001903,2.0
1089002000,6.0
1089002100,10.0
1089002200,8.0
1089002300,8.0
1089002400,7.0
1089002501,8.0
1089002502,6.0
1089002600,4.0
1089002701,3.0
1089002721,3.0
1089002722,1.0
1089002801,4.0
1089002802,2.0
1089002911,2.0
1089002912,1.0
1089002921,3.0
1089002922,1.0
1089003100,8.0
1089010200,2.0
1089010502,3.0
1089010612,1.0
1089010621,1.0
1089010622,4.0
1089010623,1.0
1089010624,1.0
1089010701,2.0
1089010702,3.0
1089010800,2.0
1089010901,1.0
1089010902,4.0
1089011011,1.0
1089011012,1.0
1089011013,1.0
1089011022,2.0
1089011100,3.0
1089011200,1.0
1089011300,2.0
1097000200,8.0
1097000901,8.0
1097000902,9.0
1097000903,9.0
1097001001,9.0
1097001002,9.0
1097001800,6.0
1097001901,7.0
1097001902,6.0
1097002000,4.0
1097002100,6.0
1097002200,8.0
1097002400,9.0
1097002501,8.0
1097002502,7.0
1097002800,8.0
1097002900,5.0
1097003000,2.0
1097003100,4.0
1097003202,5.0
1097003203,7.0
1097003204,5.0
1097003205,6.0
1097003301,4.0
1097003302,3.0
1097003402,6.0
1097003404,6.0
1097003405,4.0
1097003406,5.0
1097003407,2.0
1097003408,4.0
1097003501,5.0
1097003502,2.0
1097003602,8.0
1097003605,6.0
1097003606,4.0
1097003607,5.0
1097003608,2.0
1097003703,2.0
1097003704,2.0
1097003705,2.0
1097003706,2.0
1097003707,4.0
1097003708,1.0
1097003709,2.0
1097003710,4.0
1097004900,7.0
1097005200,8.0
1097005300,6.0
1097005600,4.0
1097006402,4.0
1097006403,3.0
1097006404,2.0
1097006405,2.0
1097006801,2.0
1097006802,4.0
1097006902,3.0
1097007000,3.0
1097007101,4.0
1097007103,4.0
1097007400,4.0
1097007600,8.0
1097007700,8.0
1101000100,10.0
1101000200,10.0
1101000400,9.0
1101000500,9.0
1101000900,6.0
1101001300,9.0
1101001400,8.0
1101001500,9.0
1101001600,10.0
1101001700,7.0
1101001800,7.0
1101001900,5.0
1101002000,5.0
1101002100,7.0
1101002500,7.0
1101002600,3.0
1101002700,2.0
1101002800,4.0
1101002900,6.0
1101003100,5.0
1101003200,4.0
1101003301,3.0
1101003302,4.0
1101005101,3.0
1101005301,3.0
1101005302,5.0
1101005402,4.0
1101005403,4.0
1101005406,1.0
1101005407,1.0
1101005408,1.0
1101005409,3.0
1101005410,5.0
1101005501,4.0
1101005503,2.0
1101005603,6.0
1101005604,1.0
1101005605,2.0
1101005606,5.0
1101005607,1.0
1101005608,1.0
1101005609,1.0
1101005610,4.0
1101005611,2.0
1101005612,1.0
1101005901,4.0
1101006000,5.0
1117030212,3.0
1117030213,2.0
1117030216,1.0
1117030217,1.0
1117030303,2.0
1117030304,1.0
1117030305,1.0
1117030314,1.0
1117030315,2.0
1117030330,1.0
1117030331,2.0
1117030332,1.0
1117030333,1.0
1117030334,1.0
1117030336,1.0
1117030344,1.0
1125010101,1.0
1125010102,1.0
1125010103,3.0
1125010201,1.0
1125010202,2.0
1125010203,3.0
1125010302,4.0
1125010404,7.0
1125010405,2.0
1125010406,1.0
1125010407,4.0
1125010500,8.0
1125010601,4.0
1125010702,3.0
1125010703,3.0
1125010802,2.0
1125010803,6.0
1125010804,4.0
1125011200,4.0
1125011401,9.0
1125011402,8.0
1125011600,9.0
1125011701,5.0
1125011901,6.0
1125012000,7.0
1125012100,5.0
1125012303,4.0
1125012304,5.0
1125012305,3.0
1125012403,2.0
1125012404,4.0
1125012405,6.0
1125012502,1.0
1125012503,1.0
1125012600,7.0
1125012700,5.0
1125012800,7.0
2020000101,1.0
2020000102,2.0
2020000201,1.0
2020000202,1.0
2020000203,1.0
2020000204,1.0
2020000500,5.0
2020000600,5.0
2020000701,3.0
2020000702,3.0
2020000703,4.0
2020000801,4.0
2020000802,3.0
2020000901,6.0
2020000902,4.0
2020001000,5.0
2020001100,4.0
2020001200,4.0
2020001300,3.0
2020001400,4.0
2020001500,3.0
2020001601,4.0
2020001602,2.0
2020001701,2.0
2020001702,2.0
2020001731,2.0
2020001732,2.0
2020001801,3.0
2020001802,3.0
2020001900,3.0
2020002000,4.0
2020002100,3.0
2020002201,2.0
2020002202,3.0
2020002301,1.0
2020002302,2.0
2020002303,2.0
2020002400,3.0
2020002501,1.0
2020002502,1.0
2020002601,2.0
2020002602,1.0
2020002603,1.0
2020002702,2.0
2020002711,1.0
2020002712,2.0
2020002811,2.0
2020002812,1.0
2020002813,1.0
2020002821,1.0
2020002822,2.0
2020002823,1.0
2020002900,1.0
4013010101,1.0
4013010102,2.0
4013030401,1.0
4013040507,2.0
4013040516,1.0
4013040517,2.0
4013040518,2.0
4013040519,1.0
4013040520,1.0
4013040521,1.0
4013040522,2.0
4013040523,1.0
4013040524,1.0
4013040525,1.0
4013040527,2.0
4013040530,2.0
4013040531,2.0
4013050605,1.0
4013060801,5.0
4013061011,2.0
4013061012,1.0
4013061013,1.0
4013061014,2.0
4013061015,1.0
4013061019,1.0
4013061021,1.0
4013061025,1.0
4013061026,1.0
4013061027,1.0
4013061028,2.0
4013061029,2.0
4013061030,1.0
4013061031,2.0
4013061032,2.0
4013061033,2.0
4013061034,2.0
4013061035,1.0
4013061036,1.0
4013061037,2.0
4013061038,1.0
4013061039,3.0
4013061043,2.0
4013061044,2.0
4013061045,1.0
4013061046,3.0
4013061047,1.0
4013061200,6.0
4013061300,6.0
4013061401,6.0
4013061402,7.0
4013071506,3.0
4013071509,2.0
4013071510,1.0
4013071511,2.0
4013071512,1.0
4013071513,2.0
4013071514,2.0
4013071515,1.0
4013071516,2.0
4013071517,1.0
4013071801,4.0
4013071903,2.0
4013071906,3.0
4013071909,2.0
4013071910,3.0
4013071911,2.0
4013071912,4.0
4013071913,4.0
4013071914,5.0
4013071915,3.0
4013082002,3.0
4013082007,3.0
4013082008,5.0
4013082009,5.0
4013082010,6.0
4013082012,1.0
4013082016,1.0
4013082017,2.0
4013082018,4.0
4013082019,1.0
4013082020,1.0
4013082021,1.0
4013082022,2.0
4013082023,2.0
4013082024,4.0
4013082025,2.0
4013082026,2.0
4013082027,2.0
4013082028,4.0
4013082203,2.0
4013082204,3.0
4013082205,3.0
4013082206,1.0
4013082207,3.0
4013082208,5.0
4013082209,5.0
4013082210,3.0
4013082211,1.0
4013083000,5.0
4013092305,4.0
4013092306,3.0
4013092307,4.0
4013092308,3.0
4013092309,4.0
4013092311,5.0
4013092312,5.0
4013092401,5.0
4013092402,4.0
4013092500,6.0
4013092600,9.0
4013092705,4.0
4013092708,4.0
4013092709,2.0
4013092710,2.0
4013092711,4.0
4013092712,3.0
4013092713,3.0
4013092715,4.0
4013092716,4.0
4013092717,5.0
4013092718,5.0
4013092719,2.0
4013092720,1.0
4013092721,1.0
4013092723,2.0
4013092724,4.0
4013092801,9.0
4013092802,7.0
4013092900,8.0
4013093001,5.0
4013093002,6.0
4013093101,6.0
4013093104,7.0
4013093105,8.0
4013093106,7.0
4013093200,5.0
4013103205,2.0
4013103206,2.0
4013103207,2.0
4013103208,2.0
