stcotr_fips,Air pollution - particulate matter,Binge drinking,Children in Poverty,Dental care,Diabetes,Frequent mental distress,High blood pressure,"Housing cost, excessive",Housing with potential lead risk,Income Inequality,Life expectancy,Limited access to healthy foods,Obesity,Physical inactivity,Preventive services,Racial/ethnic diversity,Smoking,Unemployment,Uninsured,LERI_1,LERI_2,LERI_3,LERI_4,LERI_5,LERI_6,LERI_7,LERI_8,LERI_9,LERI_10
1073000100,11.4,11.5,62.6,42.8,18.3,18.6,46.2,47.3,31.6,-44.2,71.65951153585054,93.1,47.3,42.3,26.5,48.3,28.5,10.7,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1073000300,11.6,12.0,77.6,39.7,19.7,18.4,45.6,33.7,23.8,-57.8,68.5,98.4,47.5,44.6,23.7,66.9,28.5,13.3,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1073001100,11.6,11.3,30.0,56.0,18.9,13.5,49.5,33.5,15.5,-25.4,70.3,100.0,43.4,34.9,29.6,6.2,19.5,6.2,10.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1073002100,11.4,11.8,39.0,47.2,17.4,17.2,46.2,45.1,32.4,-40.3,72.7,94.8,45.5,39.7,29.2,35.7,26.1,5.4,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1073002200,11.5,11.6,48.5,46.4,19.1,16.7,47.9,49.2,33.8,-34.2,71.6,39.2,46.7,40.6,26.6,20.4,25.8,16.6,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1073002305,11.6,18.8,28.6,69.8,8.2,11.8,28.9,25.3,45.0,-5.8,77.1,87.7,31.7,21.8,39.7,53.4,16.6,3.8,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1073002306,11.6,18.3,11.2,73.4,9.0,10.2,32.5,19.6,27.3,3.1,80.2,81.4,28.4,21.3,42.4,46.6,14.4,4.9,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1073002400,11.7,12.8,71.3,43.2,17.2,18.5,43.8,48.3,26.0,-43.9,73.1,77.7,45.4,40.3,24.7,55.7,28.2,12.3,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1073002700,11.8,15.1,34.5,47.6,15.9,16.0,41.2,44.9,23.8,-45.8,69.0,97.9,43.0,35.7,26.0,57.6,25.9,14.9,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1073003001,11.7,16.6,41.3,56.1,13.3,15.7,35.5,48.1,39.0,-43.6,73.1,97.0,35.4,31.2,28.3,54.4,20.3,15.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
